t,z_phenomenal,z_phenomenal_smooth
1492105183,11.69945302751455,2.0863535177259953
1492201719,21.83898489219223,23.889373651240067
1492286062,22.85704201759222,42.14916067358069
1492372350,68.36862638603657,60.129855832504546
1492458818,78.2727363164463,77.49790022723037
1492539945,81.07194495222132,93.25549028840305
1492637441,121.19197002762132,111.57621468017503
1492810320,150.57142759309977,142.66585573634728
1492889197,154.0955858562213,156.36612913122093
1492977232,156.5060191665532,171.37680180868057
1493079501,190.96336737273515,188.5254090054154
1493231610,229.9340204568997,213.66426084334756
1493305876,227.22862376035084,225.86527163617188
1493446072,239.7441589596476,248.94033518086025
1493578309,270.57815420191554,270.95208528208167
1493705065,289.9698729249683,292.40460737249504
1493772304,304.8285585484762,303.89590429150434
1493879525,323.0826175478216,322.32230500419115
1494031508,331.2155382240326,348.52400478966774
1494142217,386.321607382082,367.4926268338672
1494290691,397.4974639262244,392.0825395464428
1494374896,408.7520081366744,405.2501855766864
1494525025,420.8659158825102,427.2160088243113
1494619028,449.7567433594808,441.28581037782226
1494796563,468.0207930883406,473.0302306386884
1494884485,472.90878955794426,493.11752484616375
1494959679,518.5131718374902,513.5188706807854
1495051493,535.1911171471835,543.3251697172334
1495137914,590.4929741188316,576.7502980596922
1495223835,619.9972402102823,613.5996706033793
1495310225,676.9856863547826,652.5462583061227
1495396653,657.7742609711287,693.6219615050655
1495483021,756.319348062261,737.9108994676512
1495564435,772.9491332926978,784.875857023234
1495643811,848.3583777783839,837.8564276146143
1495727412,898.5513105996072,903.4033734653691
1495806823,976.8237664605532,975.4461404662488
1495900214,1055.7775835944003,1072.5722382383185
1495989374,1172.6898685510698,1176.7984440052028
1496074174,1267.2921837826873,1281.137653660668
1496159401,1342.502282008768,1385.0815767289914
1496245607,1614.9349433309048,1483.5761451045105
1496334116,1462.3621776835118,1573.3438097783107
1496420652,1689.3980458011486,1646.0523138725061
1496508796,1730.9971518560744,1700.7794865920337
1496590792,1743.0930652523712,1732.1472554530021
1496677209,1738.086450041671,1748.9427931575983
1496763573,1748.067349639315,1748.9427931575983
1496850726,1745.9969850062894,1748.9427931575983
1496936373,1747.8829980208131,1748.9427931575983
1497022728,1746.6453885885603,1748.9427931575983
1497083947,1746.5856241964927,1748.9427931575983
1497163098,1748.30015011441,1748.9427931575983
1497218849,1748.9427931575983,1748.9427931575983
